,Title,Publish Date,Place of Accident,Dead,Cause Of Accident,Village Of Accident,Time,Road,Travel To,Travel From,Cars Involved,Cars ,Registration,Day Of Accident,Type Of Accident,Day_Night
0,Five family members perish in accident along Tirinyi road,2021-01-09,Namutumba,5.0,speeding,Jaruko trading center,16.0,Iganga-Mbale ,,from Bugembe,,,UBE,,rammed into stationary  truck,Day
1,One dead in Mityana road accident,2021-01-18,Mityana,1.0,high speed,"Bbuye village, Busimbi divisio",12.0,Mityana - Namutamba,to Mityana,,motorcycle,motorcycle,UDH,Thursday,,Day
2,Two die in Iganga road accident,2021-02-20,Iganga,2.0,speeding,Walugogo located,12.0,Jinja-Iganga highway.,,from Jinja,,,,Saturday,knocked pedestrian,Day
3,Traffic paralysed after train derails in Buikwe,2021-02-16,Buikwe,,poor infrastructure.,Lugazi,2.0,Kampala-Jinja,to Malaba,from Kampala,,,Uga,Tuesday,overturned,Night
4,"Three dead, 11 hospitalized in Amuria accident",2021-02-13,Amuria,3.0,lost control of the vehicle,Adipala Village,,Amuria-Katakwi,Jacinta Akello,from Amuria,Canter Lorry,Truck,UAZ,,overturned,Day
5,"Three killed, 14 injured in Mityana-Mubende Road accident",2021-02-12,Kassanda,3.0,speeding,Kigalama village,,Kampala-Fort Portal ,to Mubende,from Kampala,,,UBB,Friday,rammed into stationary  truck,Day
6,Eleven dead in bizarre Kasese road accident,2021-02-03,Kasese,11.0,speeding,Kasese municipal HCIII,,Kasese-Fort-Portal ,,from Bundibugyo District,truck,Truck,UAU,Tuesday,head on collision,Day
7,Two perish in Iganga accident,2021-02-21,Buikwe,2.0,high speed,Walugogo trading center,,Jinja-Iganga ,,from Jinja,,,UEM,,rammed into stationary  truck,Day
8,Four dead as fuel truck catches fire after road accident,2021-02-12,Bunyangabu,4.0,Fire,Kasunganyanja trading centre,12.0,Kasese-Fort-Portal ,to Fort Portal.,,truck,Truck,URN,Friday,head on collision,Day
9,"Couples Knocked, Valentine‚Äôs Day ends in tragedy",2021-02-14,Arua city,2.0,night,Arua city,,Arua-Ediofe ,,,Toyota Landcruiser,Private cars,UAK,,head on collision,Day
10,Scores injured as speeding truck rams into Luweero water offices,2021-03-31,Luweero,,speeding,Luwero District headquarters,11.0,,,,truck,Truck,UBE,Wednesday,rammed into house,Day
11,Otuke accident claims three lives,2021-03-26,Otuke,3.0,recklessù driving.,Baraliro Village,,Lira - Otuke ,,from Lira City,Fuso truck,Truck,Urb,Thursday,overturned,Day
12,Three perish in Jinja road accident,2021-03-23,Jinja City,3.0,,Wairaka,6.0,Jinja-Iganga ,,from Pallisa District,taxi,Commuter taxi,UBJ,Tuesday,,Night
13,Traffic officer knocked dead in Mpigi,2021-03-17,Mukono,1.0,speeding,Kampiringisa Police Check Point.,6.0,Kampiringisa Police Check point,,,,,,Wednesday,knocked pedestrian,Night
14,"Nakasongola accident claims three, scores injured",2021-03-12,Nakasongola,3.0,"reckless driving,",Katoonga,12.0,Kampala-Nakasongola,to Kampala,from Nakasongola,bus,Bus,UBE,Thursday,head on collision,Day
15,"Five dead, five injured in Mpigi motor accident",2021-03-08,Mpigi,5.0,reckless driving.,Wamatovu-Nakirebe Village,5.0,Kampala - Masaka,to Kampala,from Kampala,commuter taxi,Commuter taxi,UBH,Monday,head on collision,Night
16,CSO official killed in Ntungamo road accident,2021-03-08,Ntugamo,1.0,lost control,Rukungiri,6.0,Mbarara-Kabale ,,,,,UBG,Monday,overturned,Night
17,Two die in Luweero motor accident,2021-03-01,Luweero,2.0,reckless driving and speeding by the taxi,,8.0,Kampala-Gulu ,to Luweero Town,from Kampala,commuter taxi,Commuter taxi,,,,Day
18,"Accident claims three, injures four in Luweero",2021-03-11,Luweero,3.0,Luweero town,Kakinzi village,19.0,Kampala-Gulu ,to Nakasongola.,,trailer,Truck,UBJ,yesterday,rammed other vehicle,Night
19,One killed in Mbale-Tororo road accident,2021-03-30,Mbale,1.0,lost control,Busia town council,20.0,Mbale-Tororo ,to Tororo,from Kapchorwa,Tororo Cement truck,Truck,Deo,,,Night
20,Three perish in Jinja road accident,2021-03-23,Jinja City,3.0,a tyre burst,Wairaka junction,3.0,Jinja-Iganga ,to Kampala.,from Pallisa district,commuter taxi,Commuter taxi,UBJ,,overturned,Night
21,17 critically injured accident victims airlifted to Lira hospital,2021-04-13,Lira City,,,Zoka hill,2.0,Nebbi-Zombo ,to Lira Hospital,from Zombo District,traditional,,,Sunday,overturned,Night
22,One person dies in Natete road accident,2021-04-23,Wakiso,,speeding,Natete,8.0,,,,motorcycle,motorcycle,KBR,Thursday,,Day
23,"Two dead, three injured in Nsambya police truck accident",2021-04-08,Kampala,2.0,reckless driving.,Nsambya Sharing junction,6.0,,,,truck,Truck,UAX,,knocked pedestrian,Night
24,Two presumed dead as fuel truck plunges into Karuma falls,2021-04-24,Kiryandongo,2.0,speeding,Karuma Bridge,,Kampala-Gulu ,to Kampala,from Nwoya,Fuso truck,Truck,UAS,Saturday,Plunged into Karuma,Day
25,"One dead, 7 injured as Fuso crashes into NWSC offices",2021-04-01,Luweero,1.0,,Mpologoma Clinic,6.0,Luweero-Kiwoko ,,,FUSO Truck,Truck,UBE,,rammed into house,Night
26,Policeman dies after falling off speeding patrol truck,2021-05-26,Lira,1.0,speeding,Kampiringisa Police Check Point.,17.0,Labong-ogali trading Centre,,from General Crime,car they,Private cars,,FFU,overturned,Day
27,"Police officer dead, four injured after car overturns in Kapchorwa",2021-05-26,Kapchorwa,1.0,,Thepkwatit village,6.0,Kapchorwa-Bulambuli,,,car they,Private cars,,,overturned,Night
28,"One killed, scores injured in Oyam bus accident",2021-05-23,Oyam,1.0,hit pothole,Loro Odike,23.0,Lira-Kamudini ,to Lira is,from Kampala,Isuzu bus,Bus,UBE,Saturday,overturned,Night
